# obsid ra dec l b teff logg feh rv Mgb MK MKerr_low MKerr_up AK K dist disterr_low disterr_up Z R r_gc lnnu
182915085 5.73511 +4.90068 109.73181 -57.23889 4621 1.26 -2.28 -17 0.62264 -4.38 0.62 0.76 0.128 11.987 17.70 5.23 5.85 -14.85 14.40 20.69 -14.42
173113133 33.89763 +27.90306 144.74654 -31.37926 4250 0.89 -2.35 -112 -0.26218 -4.46 0.86 2.48 0.035 10.563 9.95 6.77 4.83 -5.15 15.72 16.54 -13.23
29313118 170.00920 +27.76235 205.84317 +69.74065 4627 1.37 -1.99 35 1.20704 -4.08 0.68 0.76 0.114 12.251 17.52 5.17 6.44 16.46 13.72 21.43 -14.45
267210093 338.57330 +33.18071 92.49402 -21.46231 4755 1.58 -2.26 -75 0.73950 -3.68 0.64 0.64 0.084 11.657 11.23 2.87 3.85 -4.08 13.44 14.04 -12.14
259915228 323.56110 +15.80495 68.85650 -25.73720 4582 1.20 -2.34 -96 0.35991 -4.42 0.56 0.66 0.129 10.915 10.99 2.88 3.23 -4.75 10.24 11.29 -13.37
200415136 162.78522 +33.20626 192.37465 +63.39695 4535 1.11 -2.29 174 0.55745 -4.96 0.32 0.38 0.159 9.525 7.33 1.18 1.16 6.58 11.23 13.02 -11.90
296508205 161.58026 +16.99098 225.71097 +59.39225 4612 1.21 -2.35 70 0.53446 -4.66 0.38 0.44 0.105 9.744 7.24 1.33 1.39 6.26 10.90 12.57 -11.55
137914236 244.74353 +2.13969 15.42258 +34.47114 4684 1.45 -2.10 -122 0.76201 -3.62 0.92 1.02 0.089 11.424 9.79 3.67 5.17 5.57 2.16 5.97 -11.23
343403249 153.78749 +42.23041 177.17597 +54.89333 4588 1.19 -2.31 -63 0.65892 -4.74 0.36 0.44 0.088 11.126 14.31 2.62 2.58 11.73 16.22 20.02 -14.47
282509161 183.91521 +10.83325 273.90134 +71.65898 4664 1.37 -2.26 59 0.59316 -4.34 0.50 0.56 0.093 9.978 7.00 1.59 1.81 6.67 8.15 10.53 -12.43
336811180 236.10678 +10.53113 19.25804 +46.11153 4681 1.38 -2.32 -51 0.55634 -4.30 0.46 0.50 0.062 12.047 18.08 3.72 4.26 13.05 5.63 14.22 -13.69
266103204 326.57175 -0.18409 56.29522 -38.05930 4748 1.49 -2.25 19 0.55998 -3.92 0.56 0.58 0.100 12.021 14.73 3.45 4.33 -9.05 9.77 13.32 -13.04
14114015 153.63914 +31.89653 195.32736 +55.72223 4476 1.07 -2.25 -21 0.69461 -4.42 0.72 1.04 0.073 12.295 21.30 8.10 8.37 17.62 19.82 26.53 -14.81
254313170 81.46912 +17.96458 186.89531 -9.67928 4718 1.36 -2.36 107 0.90714 -3.84 0.58 0.60 0.162 10.645 7.32 1.77 2.24 -1.20 15.19 15.24 -10.84
333306030 196.72327 +17.25671 323.61535 +79.50248 4362 0.59 -2.39 30 0.56079 -5.40 0.10 0.18 0.117 11.416 21.87 1.74 1.03 21.53 5.34 22.19 -14.51
